run_dir,experiment_name,dataset,track,config_path,timestamp_utc
/Users/tranhylap/Documents/Edge AI/Benchmarking/CPU-friendly Edge AI Pipeline Benchmarking/results/time_series_full_20260409_163702,time_series_full,uci_har,time_series,/Users/tranhylap/Documents/Edge AI/Benchmarking/CPU-friendly Edge AI Pipeline Benchmarking/configs/time_series_full.yaml,20260409_163702
/Users/tranhylap/Documents/Edge AI/Benchmarking/CPU-friendly Edge AI Pipeline Benchmarking/results/baseline_quick_20260417_170307_484255,baseline_quick,digits,domain_agnostic,/Users/tranhylap/Documents/Edge AI/Benchmarking/CPU-friendly Edge AI Pipeline Benchmarking/configs/baseline_quick.yaml,20260417_170307
/Users/tranhylap/Documents/Edge AI/Benchmarking/CPU-friendly Edge AI Pipeline Benchmarking/results/baseline_quick_20260417_170307_484255,baseline_quick,digits,domain_agnostic,/Users/tranhylap/Documents/Edge AI/Benchmarking/CPU-friendly Edge AI Pipeline Benchmarking/configs/baseline_quick.yaml,20260417_170340
/Users/tranhylap/Documents/Edge AI/Benchmarking/CPU-friendly Edge AI Pipeline Benchmarking/results/balanced_benchmark_20260417_170745_559479,balanced_benchmark,digits,domain_agnostic,/Users/tranhylap/Documents/Edge AI/Benchmarking/CPU-friendly Edge AI Pipeline Benchmarking/configs/balanced_benchmark.yaml,20260417_170745
/Users/tranhylap/Desktop/Project/Edge AI/Benchmarking/CPU-friendly Edge AI Pipeline Benchmarking/results/baseline_quick_20260808_102411_946828,baseline_quick,digits,domain_agnostic,/Users/tranhylap/Desktop/Project/Edge AI/Benchmarking/CPU-friendly Edge AI Pipeline Benchmarking/configs/baseline_quick.yaml,20260808_102411
/Users/tranhylap/Desktop/Project/Edge AI/Benchmarking/CPU-friendly Edge AI Pipeline Benchmarking/results/balanced_benchmark_20260808_102432_553729,balanced_benchmark,digits,domain_agnostic,/Users/tranhylap/Desktop/Project/Edge AI/Benchmarking/CPU-friendly Edge AI Pipeline Benchmarking/configs/balanced_benchmark.yaml,20260808_102432
/Users/tranhylap/Desktop/Project/Edge AI/Benchmarking/CPU-friendly Edge AI Pipeline Benchmarking/results/edge_cloud_tradeoff_20260808_102445_187234,edge_cloud_tradeoff,digits,domain_agnostic,/Users/tranhylap/Desktop/Project/Edge AI/Benchmarking/CPU-friendly Edge AI Pipeline Benchmarking/configs/edge_cloud_tradeoff.yaml,20260808_102445
/Users/tranhylap/Desktop/Project/Edge AI/Benchmarking/CPU-friendly Edge AI Pipeline Benchmarking/results/time_series_full_20260808_102500_042421,time_series_full,uci_har,time_series,/Users/tranhylap/Desktop/Project/Edge AI/Benchmarking/CPU-friendly Edge AI Pipeline Benchmarking/configs/time_series_full.yaml,20260808_102500
/Users/tranhylap/Desktop/Project/Edge AI/Benchmarking/CPU-friendly Edge AI Pipeline Benchmarking/results/baseline_quick_20260829_160050_966176,baseline_quick,digits,domain_agnostic,/Users/tranhylap/Desktop/Project/Edge AI/Benchmarking/CPU-friendly Edge AI Pipeline Benchmarking/configs/baseline_quick.yaml,20260829_160050
/Users/tranhylap/Desktop/Project/Edge AI/Benchmarking/CPU-friendly Edge AI Pipeline Benchmarking/results/baseline_quick_20260829_160050_966176,baseline_quick,digits,domain_agnostic,/Users/tranhylap/Desktop/Project/Edge AI/Benchmarking/CPU-friendly Edge AI Pipeline Benchmarking/configs/baseline_quick.yaml,20260829_160101
/Users/tranhylap/Desktop/Project/Edge AI/Benchmarking/CPU-friendly Edge AI Pipeline Benchmarking/results/baseline_quick_20260829_160122_272166,baseline_quick,digits,domain_agnostic,/Users/tranhylap/Desktop/Project/Edge AI/Benchmarking/CPU-friendly Edge AI Pipeline Benchmarking/configs/baseline_quick.yaml,20260829_160122
/Users/tranhylap/Desktop/Project/Edge AI/Benchmarking/CPU-friendly Edge AI Pipeline Benchmarking/results/baseline_quick_20260830_034412_028199,baseline_quick,digits,domain_agnostic,/Users/tranhylap/Desktop/Project/Edge AI/Benchmarking/CPU-friendly Edge AI Pipeline Benchmarking/configs/baseline_threshold_090.yaml,20260830_034412
/Users/tranhylap/Desktop/Project/Edge AI/Benchmarking/CPU-friendly Edge AI Pipeline Benchmarking/results/baseline_quick_20260830_034948_361336,baseline_quick,digits,domain_agnostic,/Users/tranhylap/Desktop/Project/Edge AI/Benchmarking/CPU-friendly Edge AI Pipeline Benchmarking/configs/baseline_threshold_090.yaml,20260830_034948
/Users/tranhylap/Desktop/Project/Edge AI/Benchmarking/CPU-friendly Edge AI Pipeline Benchmarking/results/baseline_quick_20260830_035215_315206,baseline_quick,digits,domain_agnostic,/Users/tranhylap/Desktop/Project/Edge AI/Benchmarking/CPU-friendly Edge AI Pipeline Benchmarking/configs/baseline_quick.yaml,20260830_035215
/Users/tranhylap/Desktop/Project/Edge AI/Benchmarking/CPU-friendly Edge AI Pipeline Benchmarking/results/baseline_quick_20260830_035309_673665,baseline_quick,digits,domain_agnostic,/Users/tranhylap/Desktop/Project/Edge AI/Benchmarking/CPU-friendly Edge AI Pipeline Benchmarking/configs/baseline_threshold_090.yaml,20260830_035309
/Users/tranhylap/Desktop/Project/Edge AI/Benchmarking/CPU-friendly Edge AI Pipeline Benchmarking/results/baseline_quick_20260830_035333_163197,baseline_quick,digits,domain_agnostic,/Users/tranhylap/Desktop/Project/Edge AI/Benchmarking/CPU-friendly Edge AI Pipeline Benchmarking/configs/baseline_threshold_090.yaml,20260830_035333
